2026-03-03 18:56:23.451 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 9.06, speed: 0.883 page/s
2026-03-03 18:56:23.725 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 31655-2021 食品安全国家标准 哺乳动物体内碱性彗星试验/vlm
2026-03-03 18:56:23.725 | INFO     | __main__:do_parse:127 - Done [16/1758] GB 31655-2021 食品安全国家标准 哺乳动物体内碱性彗星试验
2026-03-03 18:56:23.725 | INFO     | __main__:do_parse:112 - Processing [17/1758] GB 7100-2015 食品安全国家标准 饼干
2026-03-03 18:56:23.728 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 0), (1, 1), (2, 2), (3, 3)]
2026-03-03 18:56:26.943 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 3.21, speed: 1.246 images/s
2026-03-03 18:56:30.949 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 4.01, speed: 0.998 page/s
2026-03-03 18:56:31.094 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 7100-2015 食品安全国家标准 饼干/vlm
2026-03-03 18:56:31.095 | INFO     | __main__:do_parse:127 - Done [17/1758] GB 7100-2015 食品安全国家标准 饼干
2026-03-03 18:56:31.095 | INFO     | __main__:do_parse:112 - Processing [18/1758] GB 29928-2013食品添加剂 酸处理淀粉
2026-03-03 18:56:31.096 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 3 processes, page ranges: [(0, 0), (1, 1), (2, 2)]
2026-03-03 18:56:33.795 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 2.7, speed: 1.111 images/s
2026-03-03 18:56:38.548 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 4.75, speed: 0.632 page/s
2026-03-03 18:56:38.654 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 29928-2013食品添加剂 酸处理淀粉/vlm
2026-03-03 18:56:38.654 | INFO     | __main__:do_parse:127 - Done [18/1758] GB 29928-2013食品添加剂 酸处理淀粉
2026-03-03 18:56:38.654 | INFO     | __main__:do_parse:112 - Processing [19/1758] GB 1886.262-2016 食品安全国家标准 食品添加剂 柚苷(柚皮甙提取物)
2026-03-03 18:56:38.655 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 0), (1, 1), (2, 2), (3, 4)]
2026-03-03 18:56:41.869 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 3.21, speed: 1.558 images/s
2026-03-03 18:56:47.192 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 5.32, speed: 0.94 page/s
2026-03-03 18:56:47.334 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 1886.262-2016 食品安全国家标准 食品添加剂 柚苷(柚皮甙提取物)/vlm
2026-03-03 18:56:47.334 | INFO     | __main__:do_parse:127 - Done [19/1758] GB 1886.262-2016 食品安全国家标准 食品添加剂 柚苷(柚皮甙提取物)
2026-03-03 18:56:47.334 | INFO     | __main__:do_parse:112 - Processing [20/1758] GB 4806.8-2016 食品安全国家标准  食品接触用纸和纸板材料及制品
